iter	Passed	Remaining
0	208	208454
1	231	115591
2	253	84211
3	267	66724
4	280	55729
5	290	48196
6	301	42797
7	311	38662
8	323	35574
9	333	32988
10	343	30926
11	354	29178
12	368	28003
13	379	26724
14	389	25587
15	400	24654
16	411	23783
17	421	22994
18	432	22332
19	441	21649
20	452	21096
21	463	20615
22	473	20132
23	484	19716
24	495	19335
25	505	18939
26	517	18647
27	531	18456
28	542	18165
29	551	17838
30	562	17579
31	572	17320
32	582	17081
33	593	16876
34	604	16675
35	614	16456
36	625	16273
37	634	16074
38	646	15920
39	658	15792
40	671	15710
41	682	15563
42	692	15407
43	703	15295
44	714	15155
45	724	15029
46	736	14940
47	752	14917
48	768	14915
49	785	14927
50	796	14812
51	817	14905
52	841	15030
53	858	15042
54	877	15083
55	890	15017
56	905	14984
57	926	15039
58	942	15035
59	954	14946
60	978	15059
61	994	15041
62	1015	15109
63	1035	15146
64	1055	15177
65	1073	15195
66	1084	15103
67	1095	15015
68	1106	14924
69	1115	14822
70	1126	14745
71	1141	14708
72	1150	14613
73	1161	14538
74	1172	14461
75	1181	14370
76	1192	14292
77	1202	14208
78	1211	14123
79	1222	14059
80	1231	13972
81	1241	13903
82	1252	13841
83	1262	13768
84	1273	13704
85	1284	13651
86	1294	13583
87	1308	13556
88	1318	13500
89	1328	13436
90	1339	13382
91	1350	13330
92	1360	13268
93	1371	13216
94	1382	13165
95	1392	13116
96	1403	13063
97	1413	13014
98	1423	12951
99	1433	12900
100	1447	12882
101	1457	12831
102	1467	12784
103	1478	12739
104	1488	12685
105	1499	12645
106	1510	12606
107	1520	12559
108	1531	12518
109	1542	12480
110	1551	12429
111	1562	12388
112	1572	12346
113	1583	12305
114	1597	12291
115	1607	12246
116	1616	12201
117	1627	12161
118	1636	12118
119	1646	12072
120	1657	12038
121	1666	11995
122	1677	11960
123	1688	11925
124	1697	11883
125	1708	11849
126	1718	11815
127	1729	11780
128	1742	11766
129	1754	11740
130	1764	11704
131	1774	11671
132	1786	11644
133	1795	11606
134	1806	11576
135	1816	11540
136	1826	11504
137	1837	11478
138	1848	11452
139	1858	11417
140	1869	11391
141	1880	11365
142	1891	11333
143	1904	11318
144	1914	11290
145	1923	11253
146	1934	11227
147	1945	11201
148	1955	11170
149	1966	11142
150	1973	11096
151	1984	11073
152	1995	11047
153	2005	11016
154	2015	10989
155	2026	10962
156	2036	10936
157	2048	10918
158	2059	10892
159	2069	10862
160	2079	10838
161	2090	10812
162	2099	10781
163	2110	10756
164	2120	10731
165	2128	10691
166	2138	10668
167	2148	10641
168	2159	10616
169	2170	10596
170	2180	10571
171	2192	10556
172	2205	10542
173	2215	10515
174	2221	10473
175	2231	10445
176	2242	10425
177	2253	10404
178	2262	10378
